Date,Sum of Sales,Category
1-Jan-15,1051590.06,Actual
1-Feb-15,927009.88,Actual
1-Mar-15,1051253.67,Actual
1-Apr-15,1014463.26,Actual
1-May-15,1050478.42,Actual
1-Jun-15,1024006.15,Actual
1-Jul-15,1038081.17,Actual
1-Aug-15,1029494.67,Actual
1-Sep-15,1018338.58,Actual
1-Oct-15,1049154.25,Actual
1-Nov-15,1029120.22,Actual
1-Dec-15,1057840.86,Actual
1-Jan-16,1046308.23,Actual
1-Feb-16,968542.83,Actual
1-Mar-16,1025853.1,Actual
1-Apr-16,1001211.56,Actual
1-May-16,1029400.18,Actual
1-Jun-16,1003059.53,Actual
1-Jul-16,1045715.6,Actual
1-Aug-16,1048200.23,Actual
1-Sep-16,1002397.02,Actual
1-Oct-16,1048130.53,Actual
1-Nov-16,1047590.12,Actual
1-Dec-16,1037408.15,Actual
1-Jan-17,1029698,Actual
1-Feb-17,992534.88,Actual
1-Mar-17,1048004.76,Actual
1-Apr-17,1038321.6,Actual
1-May-17,1105485.3,Actual
1-Jun-17,1032086.47,Actual
1-Jul-17,1104373.34,Actual
1-Aug-17,1109337.15,Actual
1-Sep-17,1143775.09,Actual
1-Oct-17,1073994.16,Actual
1-Nov-17,626914.37,Actual
1-Dec-17,503910.81,Actual
1-Jan-18,1100840.82,Predict
1-Feb-18,1243764.17,Predict
1-Mar-18,1175428.14,Predict
1-Apr-18,1022969.82,Predict
1-May-18,921832.71,Predict
1-Jun-18,920864.28,Predict
1-Jul-18,982380.79,Predict
1-Aug-18,1040806.79,Predict
1-Sep-18,1057758.73,Predict
1-Oct-18,1037630.85,Predict
1-Nov-18,1008246.17,Predict
1-Dec-18,993047.21,Predict
